,Infinitive(eng),Infinitive(FI),examples,person,positive,negative
0,abate,lauhtua,I am walking,minä,lauhdun,en lauhdu
1,abate,lauhtua,you are walking,sinä,lauhdut,et lauhdu
2,abate,lauhtua,he/she is walking,hän,lauhtuu,ei lauhdu
3,abate,lauhtua,we are walking,me,lauhdumme,emme lauhdu
4,abate,lauhtua,you(plural/respectful) are walking,te,lauhdutte,ette lauhdu
5,abate,lauhtua,they are walking,he,lauhtuvat,eivät lauhdu
6,abate,lauhtua,(passive) walking,passiivi,lauhdutaan,ei lauhduta
7,abate,lauhtua,I walked,minä,olen lauhtunut,en ole lauhtunut
8,abate,lauhtua,You walked,sinä,olet lauhtunut,et ole lauhtunut
9,abate,lauhtua,he/she walked,hän,on lauhtunut,ei ole lauhtunut
10,abate,lauhtua,we walked,me,olemme lauhtuneet,emme ole lauhtuneet
11,abate,lauhtua,you(plural/respectful) walked,te,olette lauhtuneet,ette ole lauhtuneet
12,abate,lauhtua,they walked,he,ovat lauhtuneet,eivät ole lauhtuneet
13,abate,lauhtua,(passive) walked,passiivi,on lauhduttu,ei ole lauhduttu
14,abate,lauhtua,I was walking,minä,lauhduin,en lauhtunut
15,abate,lauhtua,You were walking,sinä,lauhduit,et lauhtunut
16,abate,lauhtua,he/she was walking,hän,lauhtui,ei lauhtunut
17,abate,lauhtua,we were walking,me,lauhduimme,emme lauhtuneet
18,abate,lauhtua,you(plural/respectful) were walking,te,lauhduitte,ette lauhtuneet
19,abate,lauhtua,they were walking,he,lauhtuivat,eivät lauhtuneet
20,abate,lauhtua,(passive) were walking,passiivi,lauhduttiin,ei lauhduttu
21,abate,lauhtua,I had walked,minä,olin lauhtunut,en ollut lauhtunut
22,abate,lauhtua,You had walked,sinä,olit lauhtunut,et ollut lauhtunut
23,abate,lauhtua,He/she had walked,hän,oli lauhtunut,ei ollut lauhtunut
24,abate,lauhtua,We had walked,me,olimme lauhtuneet,emme olleet lauhtuneet
25,abate,lauhtua,You(plural/repectful) had walked,te,olitte lauhtuneet,ette olleet lauhtuneet
26,abate,lauhtua,They had walked,he,olivat lauhtuneet,eivät olleet lauhtuneet
27,abate,lauhtua,(passive) had walked,passiivi,oli lauhduttu,ei ollut lauhduttu
28,fire,laukaista,I am walking,minä,laukaisen,en laukaise
29,fire,laukaista,you are walking,sinä,laukaiset,et laukaise
30,fire,laukaista,he/she is walking,hän,laukaisee,ei laukaise
31,fire,laukaista,we are walking,me,laukaisemme,emme laukaise
32,fire,laukaista,you(plural/respectful) are walking,te,laukaisette,ette laukaise
33,fire,laukaista,they are walking,he,laukaisevat,eivät laukaise
34,fire,laukaista,(passive) walking,passiivi,laukaistaan,ei laukaista
35,fire,laukaista,I walked,minä,olen laukaissut,en ole laukaissut
36,fire,laukaista,You walked,sinä,olet laukaissut,et ole laukaissut
37,fire,laukaista,he/she walked,hän,on laukaissut,ei ole laukaissut
38,fire,laukaista,we walked,me,olemme laukaisseet,emme ole laukaisseet
39,fire,laukaista,you(plural/respectful) walked,te,olette laukaisseet,ette ole laukaisseet
40,fire,laukaista,they walked,he,ovat laukaisseet,eivät ole laukaisseet
41,fire,laukaista,(passive) walked,passiivi,on laukaistu,ei ole laukaistu
42,fire,laukaista,I was walking,minä,laukaisin,en laukaissut
43,fire,laukaista,You were walking,sinä,laukaisit,et laukaissut
44,fire,laukaista,he/she was walking,hän,laukaisi,ei laukaissut
45,fire,laukaista,we were walking,me,laukaisimme,emme laukaisseet
46,fire,laukaista,you(plural/respectful) were walking,te,laukaisitte,ette laukaisseet
47,fire,laukaista,they were walking,he,laukaisivat,eivät laukaisseet
48,fire,laukaista,(passive) were walking,passiivi,laukaistiin,ei laukaistu
49,fire,laukaista,I had walked,minä,olin laukaissut,en ollut laukaissut
50,fire,laukaista,You had walked,sinä,olit laukaissut,et ollut laukaissut
51,fire,laukaista,He/she had walked,hän,oli laukaissut,ei ollut laukaissut
52,fire,laukaista,We had walked,me,olimme laukaisseet,emme olleet laukaisseet
53,fire,laukaista,You(plural/repectful) had walked,te,olitte laukaisseet,ette olleet laukaisseet
54,fire,laukaista,They had walked,he,olivat laukaisseet,eivät olleet laukaisseet
55,fire,laukaista,(passive) had walked,passiivi,oli laukaistu,ei ollut laukaistu
56,do,laukkoa,I am walking,minä,laukon,en lauko
57,do,laukkoa,you are walking,sinä,laukot,et lauko
58,do,laukkoa,he/she is walking,hän,laukkoo,ei lauko
59,do,laukkoa,we are walking,me,laukomme,emme lauko
60,do,laukkoa,you(plural/respectful) are walking,te,laukotte,ette lauko
61,do,laukkoa,they are walking,he,laukkovat,eivät lauko
62,do,laukkoa,(passive) walking,passiivi,laukotaan,ei laukota
63,do,laukkoa,I walked,minä,olen laukkonut,en ole laukkonut
64,do,laukkoa,You walked,sinä,olet laukkonut,et ole laukkonut
65,do,laukkoa,he/she walked,hän,on laukkonut,ei ole laukkonut
66,do,laukkoa,we walked,me,olemme laukkoneet,emme ole laukkoneet
67,do,laukkoa,you(plural/respectful) walked,te,olette laukkoneet,ette ole laukkoneet
68,do,laukkoa,they walked,he,ovat laukkoneet,eivät ole laukkoneet
69,do,laukkoa,(passive) walked,passiivi,on laukottu,ei ole laukottu
70,do,laukkoa,I was walking,minä,laukoin,en laukkonut
71,do,laukkoa,You were walking,sinä,laukoit,et laukkonut
72,do,laukkoa,he/she was walking,hän,laukkoi,ei laukkonut
73,do,laukkoa,we were walking,me,laukoimme,emme laukkoneet
74,do,laukkoa,you(plural/respectful) were walking,te,laukoitte,ette laukkoneet
75,do,laukkoa,they were walking,he,laukkoivat,eivät laukkoneet
76,do,laukkoa,(passive) were walking,passiivi,laukottiin,ei laukottu
77,do,laukkoa,I had walked,minä,olin laukkonut,en ollut laukkonut
78,do,laukkoa,You had walked,sinä,olit laukkonut,et ollut laukkonut
79,do,laukkoa,He/she had walked,hän,oli laukkonut,ei ollut laukkonut
80,do,laukkoa,We had walked,me,olimme laukkoneet,emme olleet laukkoneet
81,do,laukkoa,You(plural/repectful) had walked,te,olitte laukkoneet,ette olleet laukkoneet
82,do,laukkoa,They had walked,he,olivat laukkoneet,eivät olleet laukkoneet
83,do,laukkoa,(passive) had walked,passiivi,oli laukottu,ei ollut laukottu
84,fire,laukoa,I am walking,minä,lauon,en lauo
85,fire,laukoa,you are walking,sinä,lauot,et lauo
86,fire,laukoa,he/she is walking,hän,laukoo,ei lauo
87,fire,laukoa,we are walking,me,lauomme,emme lauo
88,fire,laukoa,you(plural/respectful) are walking,te,lauotte,ette lauo
89,fire,laukoa,they are walking,he,laukovat,eivät lauo
90,fire,laukoa,(passive) walking,passiivi,lauotaan,ei lauota
91,fire,laukoa,I walked,minä,olen laukonut,en ole laukonut
92,fire,laukoa,You walked,sinä,olet laukonut,et ole laukonut
93,fire,laukoa,he/she walked,hän,on laukonut,ei ole laukonut
94,fire,laukoa,we walked,me,olemme laukoneet,emme ole laukoneet
95,fire,laukoa,you(plural/respectful) walked,te,olette laukoneet,ette ole laukoneet
96,fire,laukoa,they walked,he,ovat laukoneet,eivät ole laukoneet
97,fire,laukoa,(passive) walked,passiivi,on lauottu,ei ole lauottu
98,fire,laukoa,I was walking,minä,lauoin,en laukonut
99,fire,laukoa,You were walking,sinä,lauoit,et laukonut
100,fire,laukoa,he/she was walking,hän,laukoi,ei laukonut
101,fire,laukoa,we were walking,me,lauoimme,emme laukoneet
102,fire,laukoa,you(plural/respectful) were walking,te,lauoitte,ette laukoneet
103,fire,laukoa,they were walking,he,laukoivat,eivät laukoneet
104,fire,laukoa,(passive) were walking,passiivi,lauottiin,ei lauottu
105,fire,laukoa,I had walked,minä,olin laukonut,en ollut laukonut
106,fire,laukoa,You had walked,sinä,olit laukonut,et ollut laukonut
107,fire,laukoa,He/she had walked,hän,oli laukonut,ei ollut laukonut
108,fire,laukoa,We had walked,me,olimme laukoneet,emme olleet laukoneet
109,fire,laukoa,You(plural/repectful) had walked,te,olitte laukoneet,ette olleet laukoneet
110,fire,laukoa,They had walked,he,olivat laukoneet,eivät olleet laukoneet
111,fire,laukoa,(passive) had walked,passiivi,oli lauottu,ei ollut lauottu
112,sing,laulaa,I am walking,minä,laulan,en laula
113,sing,laulaa,you are walking,sinä,laulat,et laula
114,sing,laulaa,he/she is walking,hän,laulaa,ei laula
115,sing,laulaa,we are walking,me,laulamme,emme laula
116,sing,laulaa,you(plural/respectful) are walking,te,laulatte,ette laula
117,sing,laulaa,they are walking,he,laulavat,eivät laula
118,sing,laulaa,(passive) walking,passiivi,lauletaan,ei lauleta
119,sing,laulaa,I walked,minä,olen laulanut,en ole laulanut
120,sing,laulaa,You walked,sinä,olet laulanut,et ole laulanut
121,sing,laulaa,he/she walked,hän,on laulanut,ei ole laulanut
122,sing,laulaa,we walked,me,olemme laulaneet,emme ole laulaneet
123,sing,laulaa,you(plural/respectful) walked,te,olette laulaneet,ette ole laulaneet
124,sing,laulaa,they walked,he,ovat laulaneet,eivät ole laulaneet
125,sing,laulaa,(passive) walked,passiivi,on laulettu,ei ole laulettu
126,sing,laulaa,I was walking,minä,lauloin,en laulanut
127,sing,laulaa,You were walking,sinä,lauloit,et laulanut
128,sing,laulaa,he/she was walking,hän,lauloi,ei laulanut
129,sing,laulaa,we were walking,me,lauloimme,emme laulaneet
130,sing,laulaa,you(plural/respectful) were walking,te,lauloitte,ette laulaneet
131,sing,laulaa,they were walking,he,lauloivat,eivät laulaneet
132,sing,laulaa,(passive) were walking,passiivi,laulettiin,ei laulettu
133,sing,laulaa,I had walked,minä,olin laulanut,en ollut laulanut
134,sing,laulaa,You had walked,sinä,olit laulanut,et ollut laulanut
135,sing,laulaa,He/she had walked,hän,oli laulanut,ei ollut laulanut
136,sing,laulaa,We had walked,me,olimme laulaneet,emme olleet laulaneet
137,sing,laulaa,You(plural/repectful) had walked,te,olitte laulaneet,ette olleet laulaneet
138,sing,laulaa,They had walked,he,olivat laulaneet,eivät olleet laulaneet
139,sing,laulaa,(passive) had walked,passiivi,oli laulettu,ei ollut laulettu
140,make someone sing,laulattaa,I am walking,minä,laulatan,en laulata
141,make someone sing,laulattaa,you are walking,sinä,laulatat,et laulata
142,make someone sing,laulattaa,he/she is walking,hän,laulattaa,ei laulata
143,make someone sing,laulattaa,we are walking,me,laulatamme,emme laulata
144,make someone sing,laulattaa,you(plural/respectful) are walking,te,laulatatte,ette laulata
145,make someone sing,laulattaa,they are walking,he,laulattavat,eivät laulata
146,make someone sing,laulattaa,(passive) walking,passiivi,laulatetaan,ei laulateta
147,make someone sing,laulattaa,I walked,minä,olen laulattanut,en ole laulattanut
148,make someone sing,laulattaa,You walked,sinä,olet laulattanut,et ole laulattanut
149,make someone sing,laulattaa,he/she walked,hän,on laulattanut,ei ole laulattanut
150,make someone sing,laulattaa,we walked,me,olemme laulattaneet,emme ole laulattaneet
151,make someone sing,laulattaa,you(plural/respectful) walked,te,olette laulattaneet,ette ole laulattaneet
152,make someone sing,laulattaa,they walked,he,ovat laulattaneet,eivät ole laulattaneet
153,make someone sing,laulattaa,(passive) walked,passiivi,on laulatettu,ei ole laulatettu
154,make someone sing,laulattaa,I was walking,minä,laulatin,en laulattanut
155,make someone sing,laulattaa,You were walking,sinä,laulatit,et laulattanut
156,make someone sing,laulattaa,he/she was walking,hän,laulatti,ei laulattanut
157,make someone sing,laulattaa,we were walking,me,laulatimme,emme laulattaneet
158,make someone sing,laulattaa,you(plural/respectful) were walking,te,laulatitte,ette laulattaneet
159,make someone sing,laulattaa,they were walking,he,laulattivat,eivät laulattaneet
160,make someone sing,laulattaa,(passive) were walking,passiivi,laulatettiin,ei laulatettu
161,make someone sing,laulattaa,I had walked,minä,olin laulattanut,en ollut laulattanut
162,make someone sing,laulattaa,You had walked,sinä,olit laulattanut,et ollut laulattanut
163,make someone sing,laulattaa,He/she had walked,hän,oli laulattanut,ei ollut laulattanut
164,make someone sing,laulattaa,We had walked,me,olimme laulattaneet,emme olleet laulattaneet
165,make someone sing,laulattaa,You(plural/repectful) had walked,te,olitte laulattaneet,ette olleet laulattaneet
166,make someone sing,laulattaa,They had walked,he,olivat laulattaneet,eivät olleet laulattaneet
167,make someone sing,laulattaa,(passive) had walked,passiivi,oli laulatettu,ei ollut laulatettu
168,sing,laulella,I am walking,minä,laulelen,en laulele
169,sing,laulella,you are walking,sinä,laulelet,et laulele
170,sing,laulella,he/she is walking,hän,laulelee,ei laulele
171,sing,laulella,we are walking,me,laulelemme,emme laulele
172,sing,laulella,you(plural/respectful) are walking,te,laulelette,ette laulele
173,sing,laulella,they are walking,he,laulelevat,eivät laulele
174,sing,laulella,(passive) walking,passiivi,laulellaan,ei laulella
175,sing,laulella,I walked,minä,olen laulellut,en ole laulellut
176,sing,laulella,You walked,sinä,olet laulellut,et ole laulellut
177,sing,laulella,he/she walked,hän,on laulellut,ei ole laulellut
178,sing,laulella,we walked,me,olemme laulelleet,emme ole laulelleet
179,sing,laulella,you(plural/respectful) walked,te,olette laulelleet,ette ole laulelleet
180,sing,laulella,they walked,he,ovat laulelleet,eivät ole laulelleet
181,sing,laulella,(passive) walked,passiivi,on lauleltu,ei ole lauleltu
182,sing,laulella,I was walking,minä,laulelin,en laulellut
183,sing,laulella,You were walking,sinä,laulelit,et laulellut
184,sing,laulella,he/she was walking,hän,lauleli,ei laulellut
185,sing,laulella,we were walking,me,laulelimme,emme laulelleet
186,sing,laulella,you(plural/respectful) were walking,te,laulelitte,ette laulelleet
187,sing,laulella,they were walking,he,laulelivat,eivät laulelleet
188,sing,laulella,(passive) were walking,passiivi,lauleltiin,ei lauleltu
189,sing,laulella,I had walked,minä,olin laulellut,en ollut laulellut
190,sing,laulella,You had walked,sinä,olit laulellut,et ollut laulellut
191,sing,laulella,He/she had walked,hän,oli laulellut,ei ollut laulellut
192,sing,laulella,We had walked,me,olimme laulelleet,emme olleet laulelleet
193,sing,laulella,You(plural/repectful) had walked,te,olitte laulelleet,ette olleet laulelleet
194,sing,laulella,They had walked,he,olivat laulelleet,eivät olleet laulelleet
195,sing,laulella,(passive) had walked,passiivi,oli lauleltu,ei ollut lauleltu
196,sing,lauleskella,I am walking,minä,lauleskelen,en lauleskele
197,sing,lauleskella,you are walking,sinä,lauleskelet,et lauleskele
198,sing,lauleskella,he/she is walking,hän,lauleskelee,ei lauleskele
199,sing,lauleskella,we are walking,me,lauleskelemme,emme lauleskele
200,sing,lauleskella,you(plural/respectful) are walking,te,lauleskelette,ette lauleskele
201,sing,lauleskella,they are walking,he,lauleskelevat,eivät lauleskele
202,sing,lauleskella,(passive) walking,passiivi,lauleskellaan,ei lauleskella
