,Infinitive(eng),Infinitive(FI),examples,person,positive,negative
0,blow,niistää,,,,
1,rivet,niitata,I am walking,minä,niittaan,en niittaa
2,rivet,niitata,you are walking,sinä,niittaat,et niittaa
3,rivet,niitata,he/she is walking,hän,niittaa,ei niittaa
4,rivet,niitata,we are walking,me,niittaamme,emme niittaa
5,rivet,niitata,you(plural/respectful) are walking,te,niittaatte,ette niittaa
6,rivet,niitata,they are walking,he,niittaavat,eivät niittaa
7,rivet,niitata,(passive) walking,passiivi,niitataan,ei niitata
8,rivet,niitata,I walked,minä,olen niitannut,en ole niitannut
9,rivet,niitata,You walked,sinä,olet niitannut,et ole niitannut
10,rivet,niitata,he/she walked,hän,on niitannut,ei ole niitannut
11,rivet,niitata,we walked,me,olemme niitanneet,emme ole niitanneet
12,rivet,niitata,you(plural/respectful) walked,te,olette niitanneet,ette ole niitanneet
13,rivet,niitata,they walked,he,ovat niitanneet,eivät ole niitanneet
14,rivet,niitata,(passive) walked,passiivi,on niitattu,ei ole niitattu
15,rivet,niitata,I was walking,minä,niittasin,en niitannut
16,rivet,niitata,You were walking,sinä,niittasit,et niitannut
17,rivet,niitata,he/she was walking,hän,niittasi,ei niitannut
18,rivet,niitata,we were walking,me,niittasimme,emme niitanneet
19,rivet,niitata,you(plural/respectful) were walking,te,niittasitte,ette niitanneet
20,rivet,niitata,they were walking,he,niittasivat,eivät niitanneet
21,rivet,niitata,(passive) were walking,passiivi,niitattiin,ei niitattu
22,rivet,niitata,I had walked,minä,olin niitannut,en ollut niitannut
23,rivet,niitata,You had walked,sinä,olit niitannut,et ollut niitannut
24,rivet,niitata,He/she had walked,hän,oli niitannut,ei ollut niitannut
25,rivet,niitata,We had walked,me,olimme niitanneet,emme olleet niitanneet
26,rivet,niitata,You(plural/repectful) had walked,te,olitte niitanneet,ette olleet niitanneet
27,rivet,niitata,They had walked,he,olivat niitanneet,eivät olleet niitanneet
28,rivet,niitata,(passive) had walked,passiivi,oli niitattu,ei ollut niitattu
29,mow,niittää,,,,
30,work as carpenter,nikkaroida,I am walking,minä,nikkaroin,en nikkaroi
31,work as carpenter,nikkaroida,you are walking,sinä,nikkaroit,et nikkaroi
32,work as carpenter,nikkaroida,he/she is walking,hän,nikkaroi,ei nikkaroi
33,work as carpenter,nikkaroida,we are walking,me,nikkaroimme,emme nikkaroi
34,work as carpenter,nikkaroida,you(plural/respectful) are walking,te,nikkaroitte,ette nikkaroi
35,work as carpenter,nikkaroida,they are walking,he,nikkaroivat,eivät nikkaroi
36,work as carpenter,nikkaroida,(passive) walking,passiivi,nikkaroidaan,ei nikkaroida
37,work as carpenter,nikkaroida,I walked,minä,olen nikkaroinut,en ole nikkaroinut
38,work as carpenter,nikkaroida,You walked,sinä,olet nikkaroinut,et ole nikkaroinut
39,work as carpenter,nikkaroida,he/she walked,hän,on nikkaroinut,ei ole nikkaroinut
40,work as carpenter,nikkaroida,we walked,me,olemme nikkaroineet,emme ole nikkaroineet
41,work as carpenter,nikkaroida,you(plural/respectful) walked,te,olette nikkaroineet,ette ole nikkaroineet
42,work as carpenter,nikkaroida,they walked,he,ovat nikkaroineet,eivät ole nikkaroineet
43,work as carpenter,nikkaroida,(passive) walked,passiivi,on nikkaroitu,ei ole nikkaroitu
44,work as carpenter,nikkaroida,I was walking,minä,nikkaroin,en nikkaroinut
45,work as carpenter,nikkaroida,You were walking,sinä,nikkaroit,et nikkaroinut
46,work as carpenter,nikkaroida,he/she was walking,hän,nikkaroi,ei nikkaroinut
47,work as carpenter,nikkaroida,we were walking,me,nikkaroimme,emme nikkaroineet
48,work as carpenter,nikkaroida,you(plural/respectful) were walking,te,nikkaroitte,ette nikkaroineet
49,work as carpenter,nikkaroida,they were walking,he,nikkaroivat,eivät nikkaroineet
50,work as carpenter,nikkaroida,(passive) were walking,passiivi,nikkaroitiin,ei nikkaroitu
51,work as carpenter,nikkaroida,I had walked,minä,olin nikkaroinut,en ollut nikkaroinut
52,work as carpenter,nikkaroida,You had walked,sinä,olit nikkaroinut,et ollut nikkaroinut
53,work as carpenter,nikkaroida,He/she had walked,hän,oli nikkaroinut,ei ollut nikkaroinut
54,work as carpenter,nikkaroida,We had walked,me,olimme nikkaroineet,emme olleet nikkaroineet
55,work as carpenter,nikkaroida,You(plural/repectful) had walked,te,olitte nikkaroineet,ette olleet nikkaroineet
56,work as carpenter,nikkaroida,They had walked,he,olivat nikkaroineet,eivät olleet nikkaroineet
57,work as carpenter,nikkaroida,(passive) had walked,passiivi,oli nikkaroitu,ei ollut nikkaroitu
58,nickel,nikkelöidä,,,,
59,nickel,niklata,,,,
60,hiccup,nikotella,,,,
61,hiccup,nikottaa,,,,
62,cause hiccups,nikotuttaa,,,,
63,english,niksahdella,,,,
64,english,niksahtaa,,,,
65,english,niksauttaa,,,,
66,do,niksua,I am walking,minä,niksun,en niksu
67,do,niksua,you are walking,sinä,niksut,et niksu
68,do,niksua,he/she is walking,hän,niksuu,ei niksu
69,do,niksua,we are walking,me,niksumme,emme niksu
70,do,niksua,you(plural/respectful) are walking,te,niksutte,ette niksu
71,do,niksua,they are walking,he,niksuvat,eivät niksu
72,do,niksua,(passive) walking,passiivi,niksutaan,ei niksuta
73,do,niksua,I walked,minä,olen niksunut,en ole niksunut
74,do,niksua,You walked,sinä,olet niksunut,et ole niksunut
75,do,niksua,he/she walked,hän,on niksunut,ei ole niksunut
76,do,niksua,we walked,me,olemme niksuneet,emme ole niksuneet
77,do,niksua,you(plural/respectful) walked,te,olette niksuneet,ette ole niksuneet
78,do,niksua,they walked,he,ovat niksuneet,eivät ole niksuneet
79,do,niksua,(passive) walked,passiivi,on niksuttu,ei ole niksuttu
80,do,niksua,I was walking,minä,niksuin,en niksunut
81,do,niksua,You were walking,sinä,niksuit,et niksunut
82,do,niksua,he/she was walking,hän,niksui,ei niksunut
83,do,niksua,we were walking,me,niksuimme,emme niksuneet
84,do,niksua,you(plural/respectful) were walking,te,niksuitte,ette niksuneet
85,do,niksua,they were walking,he,niksuivat,eivät niksuneet
86,do,niksua,(passive) were walking,passiivi,niksuttiin,ei niksuttu
87,do,niksua,I had walked,minä,olin niksunut,en ollut niksunut
88,do,niksua,You had walked,sinä,olit niksunut,et ollut niksunut
89,do,niksua,He/she had walked,hän,oli niksunut,ei ollut niksunut
90,do,niksua,We had walked,me,olimme niksuneet,emme olleet niksuneet
91,do,niksua,You(plural/repectful) had walked,te,olitte niksuneet,ette olleet niksuneet
92,do,niksua,They had walked,he,olivat niksuneet,eivät olleet niksuneet
93,do,niksua,(passive) had walked,passiivi,oli niksuttu,ei ollut niksuttu
94,become slimy,niljaantua,I am walking,minä,niljaannun,en niljaannu
95,become slimy,niljaantua,you are walking,sinä,niljaannut,et niljaannu
96,become slimy,niljaantua,he/she is walking,hän,niljaantuu,ei niljaannu
97,become slimy,niljaantua,we are walking,me,niljaannumme,emme niljaannu
98,become slimy,niljaantua,you(plural/respectful) are walking,te,niljaannutte,ette niljaannu
99,become slimy,niljaantua,they are walking,he,niljaantuvat,eivät niljaannu
100,become slimy,niljaantua,(passive) walking,passiivi,niljaannutaan,ei niljaannuta
101,become slimy,niljaantua,I walked,minä,olen niljaantunut,en ole niljaantunut
102,become slimy,niljaantua,You walked,sinä,olet niljaantunut,et ole niljaantunut
103,become slimy,niljaantua,he/she walked,hän,on niljaantunut,ei ole niljaantunut
104,become slimy,niljaantua,we walked,me,olemme niljaantuneet,emme ole niljaantuneet
105,become slimy,niljaantua,you(plural/respectful) walked,te,olette niljaantuneet,ette ole niljaantuneet
106,become slimy,niljaantua,they walked,he,ovat niljaantuneet,eivät ole niljaantuneet
107,become slimy,niljaantua,(passive) walked,passiivi,on niljaannuttu,ei ole niljaannuttu
108,become slimy,niljaantua,I was walking,minä,niljaannuin,en niljaantunut
109,become slimy,niljaantua,You were walking,sinä,niljaannuit,et niljaantunut
110,become slimy,niljaantua,he/she was walking,hän,niljaantui,ei niljaantunut
111,become slimy,niljaantua,we were walking,me,niljaannuimme,emme niljaantuneet
112,become slimy,niljaantua,you(plural/respectful) were walking,te,niljaannuitte,ette niljaantuneet
113,become slimy,niljaantua,they were walking,he,niljaantuivat,eivät niljaantuneet
114,become slimy,niljaantua,(passive) were walking,passiivi,niljaannuttiin,ei niljaannuttu
115,become slimy,niljaantua,I had walked,minä,olin niljaantunut,en ollut niljaantunut
116,become slimy,niljaantua,You had walked,sinä,olit niljaantunut,et ollut niljaantunut
117,become slimy,niljaantua,He/she had walked,hän,oli niljaantunut,ei ollut niljaantunut
118,become slimy,niljaantua,We had walked,me,olimme niljaantuneet,emme olleet niljaantuneet
119,become slimy,niljaantua,You(plural/repectful) had walked,te,olitte niljaantuneet,ette olleet niljaantuneet
120,become slimy,niljaantua,They had walked,he,olivat niljaantuneet,eivät olleet niljaantuneet
121,become slimy,niljaantua,(passive) had walked,passiivi,oli niljaannuttu,ei ollut niljaannuttu
122,english,nilkutella,,,,
123,limp,nilkuttaa,I am walking,minä,nilkutan,en nilkuta
124,limp,nilkuttaa,you are walking,sinä,nilkutat,et nilkuta
125,limp,nilkuttaa,he/she is walking,hän,nilkuttaa,ei nilkuta
126,limp,nilkuttaa,we are walking,me,nilkutamme,emme nilkuta
127,limp,nilkuttaa,you(plural/respectful) are walking,te,nilkutatte,ette nilkuta
128,limp,nilkuttaa,they are walking,he,nilkuttavat,eivät nilkuta
129,limp,nilkuttaa,(passive) walking,passiivi,nilkutetaan,ei nilkuteta
130,limp,nilkuttaa,I walked,minä,olen nilkuttanut,en ole nilkuttanut
131,limp,nilkuttaa,You walked,sinä,olet nilkuttanut,et ole nilkuttanut
132,limp,nilkuttaa,he/she walked,hän,on nilkuttanut,ei ole nilkuttanut
133,limp,nilkuttaa,we walked,me,olemme nilkuttaneet,emme ole nilkuttaneet
134,limp,nilkuttaa,you(plural/respectful) walked,te,olette nilkuttaneet,ette ole nilkuttaneet
135,limp,nilkuttaa,they walked,he,ovat nilkuttaneet,eivät ole nilkuttaneet
136,limp,nilkuttaa,(passive) walked,passiivi,on nilkutettu,ei ole nilkutettu
137,limp,nilkuttaa,I was walking,minä,nilkutin,en nilkuttanut
138,limp,nilkuttaa,You were walking,sinä,nilkutit,et nilkuttanut
139,limp,nilkuttaa,he/she was walking,hän,nilkutti,ei nilkuttanut
140,limp,nilkuttaa,we were walking,me,nilkutimme,emme nilkuttaneet
141,limp,nilkuttaa,you(plural/respectful) were walking,te,nilkutitte,ette nilkuttaneet
142,limp,nilkuttaa,they were walking,he,nilkuttivat,eivät nilkuttaneet
143,limp,nilkuttaa,(passive) were walking,passiivi,nilkutettiin,ei nilkutettu
144,limp,nilkuttaa,I had walked,minä,olin nilkuttanut,en ollut nilkuttanut
145,limp,nilkuttaa,You had walked,sinä,olit nilkuttanut,et ollut nilkuttanut
146,limp,nilkuttaa,He/she had walked,hän,oli nilkuttanut,ei ollut nilkuttanut
147,limp,nilkuttaa,We had walked,me,olimme nilkuttaneet,emme olleet nilkuttaneet
148,limp,nilkuttaa,You(plural/repectful) had walked,te,olitte nilkuttaneet,ette olleet nilkuttaneet
149,limp,nilkuttaa,They had walked,he,olivat nilkuttaneet,eivät olleet nilkuttaneet
150,limp,nilkuttaa,(passive) had walked,passiivi,oli nilkutettu,ei ollut nilkutettu
151,name,nimetä,,,,
152,identify something as belonging to,nimikoida,,,,
153,call names,nimitellä,,,,
154,assign,nimittää,,,,
155,label,nimiöidä,,,,
156,tingle,nipistellä,,,,
157,pinch,nipistää,,,,
158,nitpick,nipottaa,I am walking,minä,nipotan,en nipota
159,nitpick,nipottaa,you are walking,sinä,nipotat,et nipota
160,nitpick,nipottaa,he/she is walking,hän,nipottaa,ei nipota
161,nitpick,nipottaa,we are walking,me,nipotamme,emme nipota
162,nitpick,nipottaa,you(plural/respectful) are walking,te,nipotatte,ette nipota
163,nitpick,nipottaa,they are walking,he,nipottavat,eivät nipota
164,nitpick,nipottaa,(passive) walking,passiivi,nipotetaan,ei nipoteta
165,nitpick,nipottaa,I walked,minä,olen nipottanut,en ole nipottanut
166,nitpick,nipottaa,You walked,sinä,olet nipottanut,et ole nipottanut
167,nitpick,nipottaa,he/she walked,hän,on nipottanut,ei ole nipottanut
168,nitpick,nipottaa,we walked,me,olemme nipottaneet,emme ole nipottaneet
169,nitpick,nipottaa,you(plural/respectful) walked,te,olette nipottaneet,ette ole nipottaneet
170,nitpick,nipottaa,they walked,he,ovat nipottaneet,eivät ole nipottaneet
171,nitpick,nipottaa,(passive) walked,passiivi,on nipotettu,ei ole nipotettu
172,nitpick,nipottaa,I was walking,minä,nipotin,en nipottanut
173,nitpick,nipottaa,You were walking,sinä,nipotit,et nipottanut
174,nitpick,nipottaa,he/she was walking,hän,nipotti,ei nipottanut
175,nitpick,nipottaa,we were walking,me,nipotimme,emme nipottaneet
176,nitpick,nipottaa,you(plural/respectful) were walking,te,nipotitte,ette nipottaneet
177,nitpick,nipottaa,they were walking,he,nipottivat,eivät nipottaneet
178,nitpick,nipottaa,(passive) were walking,passiivi,nipotettiin,ei nipotettu
179,nitpick,nipottaa,I had walked,minä,olin nipottanut,en ollut nipottanut
180,nitpick,nipottaa,You had walked,sinä,olit nipottanut,et ollut nipottanut
181,nitpick,nipottaa,He/she had walked,hän,oli nipottanut,ei ollut nipottanut
182,nitpick,nipottaa,We had walked,me,olimme nipottaneet,emme olleet nipottaneet
183,nitpick,nipottaa,You(plural/repectful) had walked,te,olitte nipottaneet,ette olleet nipottaneet
184,nitpick,nipottaa,They had walked,he,olivat nipottaneet,eivät olleet nipottaneet
185,nitpick,nipottaa,(passive) had walked,passiivi,oli nipotettu,ei ollut nipotettu
186,english,nipsahtaa,,,,
187,english,nipsauttaa,,,,
188,bundle,niputtaa,,,,
189,english,nirhaista,,,,
190,do,nirhata,I am walking,minä,nirhaan,en nirhaa
191,do,nirhata,you are walking,sinä,nirhaat,et nirhaa
192,do,nirhata,he/she is walking,hän,nirhaa,ei nirhaa
193,do,nirhata,we are walking,me,nirhaamme,emme nirhaa
194,do,nirhata,you(plural/respectful) are walking,te,nirhaatte,ette nirhaa
195,do,nirhata,they are walking,he,nirhaavat,eivät nirhaa
196,do,nirhata,(passive) walking,passiivi,nirhataan,ei nirhata
197,do,nirhata,I walked,minä,olen nirhannut,en ole nirhannut
198,do,nirhata,You walked,sinä,olet nirhannut,et ole nirhannut
199,do,nirhata,he/she walked,hän,on nirhannut,ei ole nirhannut
200,do,nirhata,we walked,me,olemme nirhanneet,emme ole nirhanneet
201,do,nirhata,you(plural/respectful) walked,te,olette nirhanneet,ette ole nirhanneet
202,do,nirhata,they walked,he,ovat nirhanneet,eivät ole nirhanneet
203,do,nirhata,(passive) walked,passiivi,on nirhattu,ei ole nirhattu
204,do,nirhata,I was walking,minä,nirhasin,en nirhannut
205,do,nirhata,You were walking,sinä,nirhasit,et nirhannut
206,do,nirhata,he/she was walking,hän,nirhasi,ei nirhannut
207,do,nirhata,we were walking,me,nirhasimme,emme nirhanneet
208,do,nirhata,you(plural/respectful) were walking,te,nirhasitte,ette nirhanneet
209,do,nirhata,they were walking,he,nirhasivat,eivät nirhanneet
210,do,nirhata,(passive) were walking,passiivi,nirhattiin,ei nirhattu
211,do,nirhata,I had walked,minä,olin nirhannut,en ollut nirhannut
212,do,nirhata,You had walked,sinä,olit nirhannut,et ollut nirhannut
213,do,nirhata,He/she had walked,hän,oli nirhannut,ei ollut nirhannut
214,do,nirhata,We had walked,me,olimme nirhanneet,emme olleet nirhanneet
215,do,nirhata,You(plural/repectful) had walked,te,olitte nirhanneet,ette olleet nirhanneet
216,do,nirhata,They had walked,he,olivat nirhanneet,eivät olleet nirhanneet
217,do,nirhata,(passive) had walked,passiivi,oli nirhattu,ei ollut nirhattu
218,english,nirskahtaa,,,,
219,grate,nirskua,I am walking,minä,nirskun,en nirsku
220,grate,nirskua,you are walking,sinä,nirskut,et nirsku
221,grate,nirskua,he/she is walking,hän,nirskuu,ei nirsku
222,grate,nirskua,we are walking,me,nirskumme,emme nirsku
223,grate,nirskua,you(plural/respectful) are walking,te,nirskutte,ette nirsku
224,grate,nirskua,they are walking,he,nirskuvat,eivät nirsku
225,grate,nirskua,(passive) walking,passiivi,nirskutaan,ei nirskuta
226,grate,nirskua,I walked,minä,olen nirskunut,en ole nirskunut
227,grate,nirskua,You walked,sinä,olet nirskunut,et ole nirskunut
228,grate,nirskua,he/she walked,hän,on nirskunut,ei ole nirskunut
229,grate,nirskua,we walked,me,olemme nirskuneet,emme ole nirskuneet
230,grate,nirskua,you(plural/respectful) walked,te,olette nirskuneet,ette ole nirskuneet
231,grate,nirskua,they walked,he,ovat nirskuneet,eivät ole nirskuneet
232,grate,nirskua,(passive) walked,passiivi,on nirskuttu,ei ole nirskuttu
233,grate,nirskua,I was walking,minä,nirskuin,en nirskunut
234,grate,nirskua,You were walking,sinä,nirskuit,et nirskunut
235,grate,nirskua,he/she was walking,hän,nirskui,ei nirskunut
236,grate,nirskua,we were walking,me,nirskuimme,emme nirskuneet
237,grate,nirskua,you(plural/respectful) were walking,te,nirskuitte,ette nirskuneet
238,grate,nirskua,they were walking,he,nirskuivat,eivät nirskuneet
239,grate,nirskua,(passive) were walking,passiivi,nirskuttiin,ei nirskuttu
240,grate,nirskua,I had walked,minä,olin nirskunut,en ollut nirskunut
241,grate,nirskua,You had walked,sinä,olit nirskunut,et ollut nirskunut
242,grate,nirskua,He/she had walked,hän,oli nirskunut,ei ollut nirskunut
243,grate,nirskua,We had walked,me,olimme nirskuneet,emme olleet nirskuneet
244,grate,nirskua,You(plural/repectful) had walked,te,olitte nirskuneet,ette olleet nirskuneet
245,grate,nirskua,They had walked,he,olivat nirskuneet,eivät olleet nirskuneet
246,grate,nirskua,(passive) had walked,passiivi,oli nirskuttu,ei ollut nirskuttu
247,grate,nirskutella,,,,
248,english,nirskuttaa,,,,
249,be fastidious,nirsoilla,,,,
250,be insubordinate,niskoitella,I am walking,minä,niskoittelen,en niskoittele
251,be insubordinate,niskoitella,you are walking,sinä,niskoittelet,et niskoittele
