,Infinitive(eng),Infinitive(FI),examples,person,positive,negative
0,arrange in alphabetical order,aakkostaa,I am walking,minä,aakkostan,en aakkosta
1,arrange in alphabetical order,aakkostaa,you are walking,sinä,aakkostat,et aakkosta
2,arrange in alphabetical order,aakkostaa,he/she is walking,hän,aakkostaa,ei aakkosta
3,arrange in alphabetical order,aakkostaa,we are walking,me,aakkostamme,emme aakkosta
4,arrange in alphabetical order,aakkostaa,you(plural/respectful) are walking,te,aakkostatte,ette aakkosta
5,arrange in alphabetical order,aakkostaa,they are walking,he,aakkostavat,eivät aakkosta
6,arrange in alphabetical order,aakkostaa,(passive) walking,passiivi,aakkostetaan,ei aakkosteta
7,arrange in alphabetical order,aakkostaa,I walked,minä,olen aakkostanut,en ole aakkostanut
8,arrange in alphabetical order,aakkostaa,You walked,sinä,olet aakkostanut,et ole aakkostanut
9,arrange in alphabetical order,aakkostaa,he/she walked,hän,on aakkostanut,ei ole aakkostanut
10,arrange in alphabetical order,aakkostaa,we walked,me,olemme aakkostaneet,emme ole aakkostaneet
11,arrange in alphabetical order,aakkostaa,you(plural/respectful) walked,te,olette aakkostaneet,ette ole aakkostaneet
12,arrange in alphabetical order,aakkostaa,they walked,he,ovat aakkostaneet,eivät ole aakkostaneet
13,arrange in alphabetical order,aakkostaa,(passive) walked,passiivi,on aakkostettu,ei ole aakkostettu
14,arrange in alphabetical order,aakkostaa,I was walking,minä,aakkostin,en aakkostanut
15,arrange in alphabetical order,aakkostaa,You were walking,sinä,aakkostit,et aakkostanut
16,arrange in alphabetical order,aakkostaa,he/she was walking,hän,aakkosti,ei aakkostanut
17,arrange in alphabetical order,aakkostaa,we were walking,me,aakkostimme,emme aakkostaneet
18,arrange in alphabetical order,aakkostaa,you(plural/respectful) were walking,te,aakkostitte,ette aakkostaneet
19,arrange in alphabetical order,aakkostaa,they were walking,he,aakkostivat,eivät aakkostaneet
20,arrange in alphabetical order,aakkostaa,(passive) were walking,passiivi,aakkostettiin,ei aakkostettu
21,arrange in alphabetical order,aakkostaa,I had walked,minä,olin aakkostanut,en ollut aakkostanut
22,arrange in alphabetical order,aakkostaa,You had walked,sinä,olit aakkostanut,et ollut aakkostanut
23,arrange in alphabetical order,aakkostaa,He/she had walked,hän,oli aakkostanut,ei ollut aakkostanut
24,arrange in alphabetical order,aakkostaa,We had walked,me,olimme aakkostaneet,emme olleet aakkostaneet
25,arrange in alphabetical order,aakkostaa,You(plural/repectful) had walked,te,olitte aakkostaneet,ette olleet aakkostaneet
26,arrange in alphabetical order,aakkostaa,They had walked,he,olivat aakkostaneet,eivät olleet aakkostaneet
27,arrange in alphabetical order,aakkostaa,(passive) had walked,passiivi,oli aakkostettu,ei ollut aakkostettu
28,wave,aallota,I am walking,minä,aaltoan,en aaltoa
29,wave,aallota,you are walking,sinä,aaltoat,et aaltoa
30,wave,aallota,he/she is walking,hän,aaltoaa,ei aaltoa
31,wave,aallota,we are walking,me,aaltoamme,emme aaltoa
32,wave,aallota,you(plural/respectful) are walking,te,aaltoatte,ette aaltoa
33,wave,aallota,they are walking,he,aaltoavat,eivät aaltoa
34,wave,aallota,(passive) walking,passiivi,aallotaan,ei aallota
35,wave,aallota,I walked,minä,olen aallonnut,en ole aallonnut
36,wave,aallota,You walked,sinä,olet aallonnut,et ole aallonnut
37,wave,aallota,he/she walked,hän,on aallonnut,ei ole aallonnut
38,wave,aallota,we walked,me,olemme aallonneet,emme ole aallonneet
39,wave,aallota,you(plural/respectful) walked,te,olette aallonneet,ette ole aallonneet
