,Finnish infinitive,English inifinitive,Infinitive(eng),Infinitive(FI),examples,person,positive,negative,person_eng
41616,lähteä soitellen sotaan,bring a knife to a,bring a knife to a,lähteä soitellen sotaan,,,,,
41617,lähteä,leave,leave,lähteä,,,,,
41618,läikehtiä,glimmer,glimmer,läikehtiä,,,,,
41619,läikkyä,spill,spill,läikkyä,,,,,
41620,läikytellä,spill,spill,läikytellä,,,,,
41621,läikyttää,spill,spill,läikyttää,,,,,
41622,läikähdellä,spill,spill,läikähdellä,,,,,
41623,läimiä,slap,slap,läimiä,,,,,
41624,läimäistä,slap,slap,läimäistä,,,,,
41625,läimätä,do,do,läimätä,,,,,
41626,läimäyttää,slam something into something,slam something into something,läimäyttää,,,,,
41627,läiskiä,slap repeatedly,slap repeatedly,läiskiä,,,,,
41628,läiskyä,splash,splash,läiskyä,,,,,
41629,läiskähtää,splash,splash,läiskähtää,,,,,
41630,läiskäistä,swat,swat,läiskäistä,,,,,
41631,läjätä,pile,pile,läjätä,,,,,
41632,läksyttää,scold,scold,läksyttää,,,,,
41633,läkähtyä,suffocate,suffocate,läkähtyä,,,,,
41634,lämmetä,warm up,warm up,lämmetä,,,,,
41635,lämmitellä,warm,warm,lämmitellä,,,,,
41636,lämmittää,warm,warm,lämmittää,,,,,
41637,lämmitä,warm,warm,lämmitä,,,,,
41638,lämätä,do a slap shot,do a slap shot,lämätä,,,,,
41639,lännettyä,become politically more western,become politically more western,lännettyä,,,,,
41640,länsimaistaa,westernize,westernize,länsimaistaa,,,,,
41641,länsimaistua,become westernized,become westernized,länsimaistua,,,,,
41642,läntistyä,english,english,läntistyä,,,,,
41643,läntätä,english,english,läntätä,,,,,
41644,läpikäydä,do,do,läpikäydä,,,,,
41645,läpivärjätä,pad,pad,läpivärjätä,,,,,
41646,läpsiä,slap,slap,läpsiä,,,,,
41647,läpsytellä,slap,slap,läpsytellä,,,,,
41648,läpsyä,english,english,läpsyä,,,,,
41649,läpäistä,pierce,pierce,läpäistä,,,,,
41650,läpätä,slap gently,slap gently,läpätä,,,,,
41651,läsiä,ail,ail,läsiä,,,,,
41652,lässyttää,talk to someone in an,talk to someone in an,lässyttää,,,,,
41653,lätistä,chatter,chatter,lätistä,,,,,
41654,lätkiä,slap,slap,lätkiä,,,,,
41655,lätkäistä,english,english,lätkäistä,,,,,
41656,läträtä,play with water,play with water,läträtä,,,,,
41657,lävistää,pierce,pierce,lävistää,,,,,
41658,läähättää,pant,pant,läähättää,,,,,
41659,lääkitä,medicate,medicate,lääkitä,,,,,
41660,löhöillä,do,do,löhöillä,,,,,
41661,löhötä,lie lazy,lie lazy,löhötä,,,,,
