,Finnish infinitive,English inifinitive,Infinitive(eng),Infinitive(FI),examples,person,positive,negative,person_eng
140,aarporata,ream,ream,aarporata,,,,,
141,aatella,do,do,aatella,,,,,
170,aavikoittaa,desertify,desertify,aavikoittaa,,,,,
255,abdikoida,abdicate,abdicate,abdikoida,,,,,
284,abhaasintaa,translate into abkhaz,translate into abkhaz,abhaasintaa,,,,,
537,addiktoida,addict,addict,addiktoida,,,,,
538,addiktoitua,addict,addict,addiktoitua,,,,,
623,aerobicata,do,do,aerobicata,,,,,
652,affisioida,affect,affect,affisioida,,,,,
653,afrikaansintaa,translate into afrikaans,translate into afrikaans,afrikaansintaa,,,,,
654,agglutinoida,agglutinate,agglutinate,agglutinoida,,,,,
767,ahdata,load,load,ahdata,,,,,
908,ahmaista,wolf down,wolf down,ahmaista,,,,,
937,ahnastella,do,do,ahnastella,,,,,
994,ahtauttaa,make,make,ahtauttaa,,,,,
1079,aidoittaa,fence,fence,aidoittaa,,,,,
1108,aiheellistaa,justify,justify,aiheellistaa,,,,,
1305,aikatauluttaa,schedule,schedule,aikatauluttaa,,,,,
1306,aikauttaa,time,time,aikauttaa,,,,,
1419,aineellistaa,materialize,materialize,aineellistaa,,,,,
1448,aineistaa,do,do,aineistaa,,,,,
1477,ainuntaa,translate into ainu language,translate into ainu language,ainuntaa,,,,,
1478,aisata,do,do,aisata,,,,,
1619,aivopestä,brainwash,brainwash,aivopestä,,,,,
1620,ajaa karille,run aground,run aground,ajaa karille,,,,,
1621,ajaa partansa,shave,shave,ajaa partansa,,,,,
1622,ajaa takaa,chase,chase,ajaa takaa,,,,,
1679,ajankohtaistaa,make current,make current,ajankohtaistaa,,,,,
1708,ajanmukaistaa,modernize,modernize,ajanmukaistaa,,,,,
1737,ajantasaistaa,update,update,ajantasaistaa,,,,,
1822,ajatteluttaa,make think,make think,ajatteluttaa,,,,,
2019,akettaa,do,do,akettaa,,,,,
2132,akkumuloida,accumulate,accumulate,akkumuloida,,,,,
2161,akseleroida,accelerate,accelerate,akseleroida,,,,,
2162,akseptata,accept a negotiable instrument,accept a negotiable instrument,akseptata,,,,,
2163,akseptoida,accept a negotiable instrument,accept a negotiable instrument,akseptoida,,,,,
2164,aktiivistaa,make more active,make more active,aktiivistaa,,,,,
2249,aktuaalistaa,do,do,aktuaalistaa,,,,,
2278,aktualisoida,do,do,aktualisoida,,,,,
2475,alijäähtyä,supercool,supercool,alijäähtyä,,,,,
2588,alitäyttää,underfill,underfill,alitäyttää,,,,,
2589,alivalottaa,underexpose,underexpose,alivalottaa,,,,,
2590,alivalottua,be underexposed,be underexposed,alivalottua,,,,,
2647,allastaa,equip with a basin,equip with a basin,allastaa,,,,,
2732,allergistaa,make allergic,make allergic,allergistaa,,,,,
2873,alottaa,start,start,alottaa,,,,,
2930,aluminoida,do,do,aluminoida,,,,,
2959,amerikkalaistaa,americanize,americanize,amerikkalaistaa,,,,,
2988,ammatillistaa,professionalise,professionalise,ammatillistaa,,,,,
3017,ammattilaistaa,professionalize,professionalize,ammattilaistaa,,,,,
3242,ampuilla,shoot,shoot,ampuilla,,,,,
3355,animoida,animate,animate,animoida,,,,,
3468,annostaa,dose,dose,annostaa,,,,,
3525,anodisoida,anodize,anodize,anodisoida,,,,,
3554,ansastaa,entrap,entrap,ansastaa,,,,,
3583,ansoittaa,trap,trap,ansoittaa,,,,,
3584,antaa anteeksi,forgive,forgive,antaa anteeksi,,,,,
3585,antaa ilmi,blow the whistle,blow the whistle,antaa ilmi,,,,,
3586,antaa kaikkensa,bring it,bring it,antaa kaikkensa,,,,,
3587,antaa opetus,teach someone a lesson,teach someone a lesson,antaa opetus,,,,,
3588,antaa ylen,regurgitate,regurgitate,antaa ylen,,,,,
3701,aplikoida,applique,applique,aplikoida,,,,,
3702,aplodeerata,applaud,applaud,aplodeerata,,,,,
3731,applikoida,apply,apply,applikoida,,,,,
3732,applisoida,do,do,applisoida,,,,,
3817,arabiantaa,translate into arabic,translate into arabic,arabiantaa,,,,,
3818,arastaa,be shytimid towards,be shytimid towards,arastaa,,,,,
3847,aravalainoittaa,do,do,aravalainoittaa,,,,,
3876,aristaa,be,be,aristaa,,,,,
3961,arkipäiväistyä,become ordinary,become ordinary,arkipäiväistyä,,,,,
3962,arkipäiväistää,make something ordinary,make something ordinary,arkipäiväistää,,,,,
4047,armastella,make love,make love,armastella,,,,,
4048,arpeuttaa,scar,scar,arpeuttaa,,,,,
4189,arvauttaa,english,english,arvauttaa,,,,,
4330,arvioituttaa,do,do,arvioituttaa,,,,,
4471,arvuuttaa,quiz,quiz,arvuuttaa,,,,,
4528,asemoida,position,position,asemoida,,,,,
4613,asettaa kyseenalaiseksi,call into question,call into question,asettaa kyseenalaiseksi,,,,,
4754,askaroida,busy,busy,askaroida,,,,,
4811,askarteluttaa,english,english,askarteluttaa,,,,,
4812,askeltaa,step,step,askeltaa,,,,,
4813,aspiroida,aspirate,aspirate,aspiroida,,,,,
4870,assosioida,associate with,associate with,assosioida,,,,,
4899,astahtaa,step,step,astahtaa,,,,,
4900,astella,step,step,astella,,,,,
5069,asvaltoida,do,do,asvaltoida,,,,,
5098,auditoida,audit,audit,auditoida,,,,,
5155,aukoa päätään,criticize,criticize,aukoa päätään,,,,,
5212,auktorisoida,authorize,authorize,auktorisoida,,,,,
5213,auktoroida,do,do,auktoroida,,,,,
5214,aumata,stook,stook,aumata,,,,,
5243,aurinkokuivata,dry in the sun,dry in the sun,aurinkokuivata,,,,,
5272,australialaistaa,do,do,australialaistaa,,,,,
5301,autentikoida,authenticate,authenticate,autentikoida,,,,,
5386,autoistaa,motorize,motorize,autoistaa,,,,,
5415,automaattistaa,automatize,automatize,automaattistaa,,,,,
5528,autuuttaa,beatify,beatify,autuuttaa,,,,,
5725,azerintaa,translate into azeri,translate into azeri,azerintaa,,,,,
5810,balansoida,balance,balance,balansoida,,,,,
5811,balkanisoida,balkanize,balkanize,balkanisoida,,,,,
5812,balkanisoitua,become balkanized,become balkanized,balkanisoitua,,,,,
5813,balsamoida,do,do,balsamoida,,,,,
5842,banaalistaa,banalize,banalize,banaalistaa,,,,,
5927,betonoida,concrete,concrete,betonoida,,,,,
5928,bingota,play bingo,play bingo,bingota,,,,,
5929,bitumoida,apply bitumen on,apply bitumen on,bitumoida,,,,,
5958,blanseerata,blanch,blanch,blanseerata,,,,,
6099,blondata,dye hair to blond,dye hair to blond,blondata,,,,,
6184,bongailla,spot,spot,bongailla,,,,,
6241,bootata,boot,boot,bootata,,,,,
6242,bosniantaa,translate into bosnian,translate into bosnian,bosniantaa,,,,,
6243,bounssata,bounce,bounce,bounssata,,,,,
6244,brassailla,show off,show off,brassailla,,,,,
6245,breikata,breakdance,breakdance,breikata,,,,,
6246,breseerata,braise,braise,breseerata,,,,,
6247,briiffata,brief,brief,briiffata,,,,,
6248,briljeerata,show off,show off,briljeerata,,,,,
6277,bruukata,do,do,bruukata,,,,,
6334,bulgariantaa,translate into bulgarian,translate into bulgarian,bulgariantaa,,,,,
6363,bunkata,bunk,bunk,bunkata,,,,,
6420,buunata,polish,polish,buunata,,,,,
6421,buutata,boot,boot,buutata,,,,,
6422,bylsiä,fuck,fuck,bylsiä,,,,,
6423,byrokraattistaa,do,do,byrokraattistaa,,,,,
6452,byrokratisoida,bureaucratize,bureaucratize,byrokratisoida,,,,,
6481,chatata,chat,chat,chatata,,,,,
6482,chipata,chip,chip,chipata,,,,,
6511,deaktivoida,deactivate,deactivate,deaktivoida,,,,,
6512,debata,die,die,debata,,,,,
6541,definioida,define,define,definioida,,,,,
6542,deformoida,deform,deform,deformoida,,,,,
6543,degeneroida,degenerate,degenerate,degeneroida,,,,,
6600,dekantoida,decant,decant,dekantoida,,,,,
6601,deklamoida,declaim,declaim,deklamoida,,,,,
6602,deklinoida,decline,decline,deklinoida,,,,,
6603,dekoodata,decode,decode,dekoodata,,,,,
6688,dementoida,correct a claim,correct a claim,dementoida,,,,,
6745,demobilisoida,demobilize,demobilize,demobilisoida,,,,,
6886,demoralisoida,demoralize,demoralize,demoralisoida,,,,,
6915,demota,demonstrate,demonstrate,demota,,,,,
6916,demystifioida,demystify,demystify,demystifioida,,,,,
6945,deodoroida,deodorize,deodorize,deodoroida,,,,,
6946,depolarisoida,depolarize,depolarize,depolarisoida,,,,,
6947,deponoida,store,store,deponoida,,,,,
6976,desalinoida,desalinate,desalinate,desalinoida,,,,,
6977,desentralisoida,decentralize,decentralize,desentralisoida,,,,,
7118,diagnostisoida,do,do,diagnostisoida,,,,,
7119,diarioida,diarize,diarize,diarioida,,,,,
7120,diarisoida,do,do,diarisoida,,,,,
7121,dieselöidä,dieselize,dieselize,dieselöidä,,,,,
7122,differentioida,differentiate,differentiate,differentioida,,,,,
7151,differentoida,do,do,differentoida,,,,,
7152,diftongiutua,become a diphthong,become a diphthong,diftongiutua,,,,,
7181,digitaalistaa,do,do,digitaalistaa,,,,,
7266,diivailla,act divalike,act divalike,diivailla,,,,,
7267,diivata,act like a prima donna,act like a prima donna,diivata,,,,,
7352,diskota,party in a nightclub,party in a nightclub,diskota,,,,,
7353,diskriminoida,discriminate,discriminate,diskriminoida,,,,,
7410,dissonoida,dissonate,dissonate,dissonoida,,,,,
7411,diversifioida,diversify,diversify,diversifioida,,,,,
7412,diversifioitua,become diversified,become diversified,diversifioitua,,,,,
7441,dokumentoida,document,document,dokumentoida,,,,,
7498,dopata,dope,dope,dopata,,,,,
7555,drapeerata,drape,drape,drapeerata,,,,,
7556,dreijata,throw,throw,dreijata,,,,,
7557,dreseerata,break in,break in,dreseerata,,,,,
7586,dubbata,do,do,dubbata,,,,,
7615,duunailla,do,do,duunailla,,,,,
7616,duunata,do,do,duunata,,,,,
7645,edellyttää,require,require,edellyttää,,,,,
7646,edeltää,precede,precede,edeltää,,,,,
7675,edesmennä,pass away,pass away,edesmennä,,,,,
7676,edetä,advance,advance,edetä,,,,,
7677,edistyä,advance,advance,edistyä,,,,,
7678,edistää,advance,advance,edistää,,,,,
7679,editoida,edit,edit,editoida,,,,,
7736,ehdollistaa,condition,condition,ehdollistaa,,,,,
7821,ehdyttää,exhaust,exhaust,ehdyttää,,,,,
7822,eheyttää,make whole,make whole,eheyttää,,,,,
7823,eheytyä,become whole,become whole,eheytyä,,,,,
7824,ehkäistyä,be prevented,be prevented,ehkäistyä,,,,,
7825,ehkäistä,prevent,prevent,ehkäistä,,,,,
7854,ehtiä,make it,make it,ehtiä,,,,,
7855,ehtyä,dry up,dry up,ehtyä,,,,,
7856,ehättää,make it,make it,ehättää,,,,,
7857,einehtiä,break fast,break fast,einehtiä,,,,,
7858,ejakuloida,ejaculate,ejaculate,ejakuloida,,,,,
7859,ekobetonoida,do,do,ekobetonoida,,,,,
7860,eksisteerata,exist,exist,eksisteerata,,,,,
7861,eksistoida,exist,exist,eksistoida,,,,,
7890,eksyttää,lead astray,lead astray,eksyttää,,,,,
7891,eksyä,get lost,get lost,eksyä,,,,,
7892,elehtiä,gesture,gesture,elehtiä,,,,,
7893,elellä,live,live,elellä,,,,,
7894,eliminoida,eliminate,eliminate,eliminoida,,,,,
7923,elinkelpoistaa,make habitable,make habitable,elinkelpoistaa,,,,,
7952,eloksoida,anodize,anodize,eloksoida,,,,,
7953,elokuvata,film,film,elokuvata,,,,,
7954,elollistaa,personify,personify,elollistaa,,,,,
7955,elostella,lech,lech,elostella,,,,,
7984,elostuttaa,animate,animate,elostuttaa,,,,,
7985,elpyä,recover,recover,elpyä,,,,,
8014,elvistellä,brag,brag,elvistellä,,,,,
8015,elvyttää,resuscitate,resuscitate,elvyttää,,,,,
8016,elähdyttää,make more lively,make more lively,elähdyttää,,,,,
8017,eläköityä,become a pensioner,become a pensioner,eläköityä,,,,,
8018,elämöidä,be noisy,be noisy,elämöidä,,,,,
8019,elätellä,maintain,maintain,elätellä,,,,,
8020,elättää,maintain,maintain,elättää,,,,,
8021,elävöittää,invigorate,invigorate,elävöittää,,,,,
8022,elävöityä,become more lively,become more lively,elävöityä,,,,,
8023,eläytyä,do,do,eläytyä,,,,,
8024,elää,live,live,elää,,,,,
8053,emansipoida,emancipate,emancipate,emansipoida,,,,,
8110,emissioida,do,do,emissioida,,,,,
8111,emitoida,do,do,emitoida,,,,,
8112,emittoida,issue,issue,emittoida,,,,,
8113,empiä,hesitate,hesitate,empiä,,,,,
8114,hätääntyä,become distressed,become distressed,hätääntyä,,,,,
8115,hävettää,do,do,hävettää,,,,,
8116,hävetä,be ashamed,be ashamed,hävetä,,,,,
8117,hävittää,lose,lose,hävittää,,,,,
8118,hävitä,disappear,disappear,hävitä,,,,,
8119,häväistä,disgrace,disgrace,häväistä,,,,,
8120,häälyä,hang,hang,häälyä,,,,,
8121,häämöttää,loom,loom,häämöttää,,,,,
8122,hääriä,busy,busy,hääriä,,,,,
8123,hääräillä,bustle,bustle,hääräillä,,,,,
8124,häärätä,bustle,bustle,häärätä,,,,,
8125,häätää,evict,evict,häätää,,,,,
8126,hölistä,blabber,blabber,hölistä,,,,,
8127,hölkyttää,do,do,hölkyttää,,,,,
8128,hölkätä,jog,jog,hölkätä,,,,,
8129,höllentyä,loosen,loosen,höllentyä,,,,,
8130,höllentää,loosen,loosen,höllentää,,,,,
8131,hölletä,relax,relax,hölletä,,,,,
8132,höllätä,loosen,loosen,höllätä,,,,,
8133,hölmistyttää,stupefy,stupefy,hölmistyttää,,,,,
8134,hölmistyä,be stupefied,be stupefied,hölmistyä,,,,,
8135,hölmöillä,act stupidly,act stupidly,hölmöillä,,,,,
8136,hölpöttää,do,do,hölpöttää,,,,,
8137,hölskyttää,slosh,slosh,hölskyttää,,,,,
8138,hölskyä,slosh,slosh,hölskyä,,,,,
8139,höltyä,loosen,loosen,höltyä,,,,,
8140,höläyttää,blurt,blurt,höläyttää,,,,,
8141,hölöttää,blabber,blabber,hölöttää,,,,,
8142,hömpsöttää,english,english,hömpsöttää,,,,,
8143,hömpöttää,make a fuss over something,make a fuss over something,hömpöttää,,,,,
8144,hönkäistä,english,english,hönkäistä,,,,,
8145,höpistä,drool,drool,höpistä,,,,,
8146,höppänöityä,become senile,become senile,höppänöityä,,,,,
8147,höpsiä,drivel,drivel,höpsiä,,,,,
8148,höpöttää,drivel,drivel,höpöttää,,,,,
8149,höristää,listen attentively,listen attentively,höristää,,,,,
8150,hörppiä,slurp,slurp,hörppiä,,,,,
8151,hörpätä,sip,sip,hörpätä,,,,,
8152,hörähtää,chortle once,chortle once,hörähtää,,,,,
8153,höröttää,english,english,höröttää,,,,,
8154,hössöttää,fuss,fuss,hössöttää,,,,,
8155,höyhentää,pluck,pluck,höyhentää,,,,,
8156,höykyttää,english,english,höykyttää,,,,,
8157,höylätä,plane,plane,höylätä,,,,,
8158,höyläytyä,be planed,be planed,höyläytyä,,,,,
8159,höylääntyä,be planed,be planed,höylääntyä,,,,,
8160,höynähtää,english,english,höynähtää,,,,,
8161,höynäyttää,trick,trick,höynäyttää,,,,,
8162,höyrystyä,evaporate,evaporate,höyrystyä,,,,,
8163,höyrystää,evaporate,evaporate,höyrystää,,,,,
8164,höyrytellä,smoke,smoke,höyrytellä,,,,,
8165,höyryttyä,steam,steam,höyryttyä,,,,,
8166,höyryttää,steam,steam,höyryttää,,,,,
8167,höyrytä,steam,steam,höyrytä,,,,,
8168,höyryyntyä,evaporate,evaporate,höyryyntyä,,,,,
8169,höyrähtää,evaporate instantaneously,evaporate instantaneously,höyrähtää,,,,,
8170,höystää,season,season,höystää,,,,,
8171,höösätä,bustle,bustle,höösätä,,,,,
8172,ideaalistaa,idealize,idealize,ideaalistaa,,,,,
8173,idealisoida,idealize,idealize,idealisoida,,,,,
8174,identifioida,identify,identify,identifioida,,,,,
8231,idätellä,sprout,sprout,idätellä,,,,,
8232,idättää,sprout,sprout,idättää,,,,,
8233,iestää,yoke,yoke,iestää,,,,,
8318,ihastella,admire,admire,ihastella,,,,,
8347,ihastuttaa,delight,delight,ihastuttaa,,,,,
8348,ihmetellä,wonder,wonder,ihmetellä,,,,,
8349,ihmetyttää,confuse,confuse,ihmetyttää,,,,,
8350,ihmismäistyä,become more human,become more human,ihmismäistyä,,,,,
8351,ihmistyä,become civilized,become civilized,ihmistyä,,,,,
8352,iirintää,translate into irish,translate into irish,iirintää,,,,,
8409,ikävystyttää,bore,bore,ikävystyttää,,,,,
8410,ikävystyä,become bored,become bored,ikävystyä,,,,,
8411,ikävöidä,miss,miss,ikävöidä,,,,,
8412,ikääntyä,age,age,ikääntyä,,,,,
8413,ilahduttaa,delight,delight,ilahduttaa,,,,,
8442,ilakoida,rejoice,rejoice,ilakoida,,,,,
8443,iljettää,disgust,disgust,iljettää,,,,,
8444,iljetä,bring,bring,iljetä,,,,,
8473,ilkeillä,act badly,act badly,ilkeillä,,,,,
8502,illallistaa,supper,supper,illallistaa,,,,,
8531,illustroida,illustrate,illustrate,illustroida,,,,,
8560,ilmailla,aviate,aviate,ilmailla,,,,,
8589,ilmakuivata,airdry,airdry,ilmakuivata,,,,,
8590,ilmakuivattaa,airdry,airdry,ilmakuivattaa,,,,,
8591,ilmakuvata,take aerial photographs,take aerial photographs,ilmakuvata,,,,,
8592,ilmapalloilla,fly a hotair balloon,fly a hotair balloon,ilmapalloilla,,,,,
8593,ilmastaa,aerate,aerate,ilmastaa,,,,,
8678,ilmehtiä,make faces,make faces,ilmehtiä,,,,,
8679,ilmeillä,make faces,make faces,ilmeillä,,,,,
8680,ilmeittää,give a personal touch,give a personal touch,ilmeittää,,,,,
8681,ilmentyä,be manifested,be manifested,ilmentyä,,,,,
8682,ilmentää,express,express,ilmentää,,,,,
8683,ilmestyä,show up,show up,ilmestyä,,,,,
8684,ilmetä,appear,appear,ilmetä,,,,,
8713,ilmituoda,reveal,reveal,ilmituoda,,,,,
8714,ilmoitella,inform,inform,ilmoitella,,,,,
8911,ilvehtiä,jest,jest,ilvehtiä,,,,,
8912,ilveillä,antic,antic,ilveillä,,,,,
8913,imaista,suck,suck,imaista,,,,,
8942,imeksiä,suck,suck,imeksiä,,,,,
8943,imellyttää,do,do,imellyttää,,,,,
8944,imeltyä,become sweet,become sweet,imeltyä,,,,,
8945,imeltää,sweeten starchy foods by keeping,sweeten starchy foods by keeping,imeltää,,,,,
8946,imelöittää,sweeten,sweeten,imelöittää,,,,,
8947,imeskellä,suck,suck,imeskellä,,,,,
8948,imettää,breastfeed,breastfeed,imettää,,,,,
8949,imeyttää,cause to be absorbed,cause to be absorbed,imeyttää,,,,,
8950,imeytyä,become sucked up,become sucked up,imeytyä,,,,,
8951,imeä,suck,suck,imeä,,,,,
8980,immunisoida,immunize,immunize,immunisoida,,,,,
9009,immuunistaa,immunize,immunize,immuunistaa,,,,,
9066,implantoida,implant,implant,implantoida,,,,,
9067,implikoida,imply,imply,implikoida,,,,,
9068,implisoida,do,do,implisoida,,,,,
9069,imponoida,impress,impress,imponoida,,,,,
9070,importoida,import,import,importoida,,,,,
9071,impregnoida,impregnate,impregnate,impregnoida,,,,,
9240,indikoida,indicate,indicate,indikoida,,,,,
9241,indisoida,induce,induce,indisoida,,,,,
9242,individuaalistaa,individualize,individualize,individuaalistaa,,,,,
9243,individualisoida,individualize,individualize,individualisoida,,,,,
9244,indoktrinoida,indoctrinate,indoctrinate,indoktrinoida,,,,,
9245,indusoida,induce,induce,indusoida,,,,,
9274,infektoida,infect,infect,infektoida,,,,,
9331,inhaloida,inhale,inhale,inhaloida,,,,,
9332,inhiboida,inhibit,inhibit,inhiboida,,,,,
9361,inhimillistyä,become more humane,become more humane,inhimillistyä,,,,,
9362,inhimillistää,humanize,humanize,inhimillistää,,,,,
9419,inistä,buzz on a relatively high,buzz on a relatively high,inistä,,,,,
9420,injektoida,inject,inject,injektoida,,,,,
9449,innoittaa,inspire,inspire,innoittaa,,,,,
9534,innostuttaa,do,do,innostuttaa,,,,,
9535,innota,enthuse overly,enthuse overly,innota,,,,,
9536,innovoida,innovate,innovate,innovoida,,,,,
9593,installoida,install,install,installoida,,,,,
9622,institutionalisoida,do,do,institutionalisoida,,,,,
9819,interrailata,travel using the interrail train,travel using the interrail train,interrailata,,,,,
9820,interreilata,do,do,interreilata,,,,,
9821,intoilla,be enthusiastic,be enthusiastic,intoilla,,,,,
9850,intrigoida,intrigue,intrigue,intrigoida,,,,,
9851,inttää,argue,argue,inttää,,,,,
9852,invalidisoida,disable,disable,invalidisoida,,,,,
9881,invalidoida,make someone disabled,make someone disabled,invalidoida,,,,,
9910,inventoida,produce an inventory,produce an inventory,inventoida,,,,,
9995,irisoida,iridesce,iridesce,irisoida,,,,,
10024,ironisoida,ironize,ironize,ironisoida,,,,,
10277,irtisanoutua,resign,resign,irtisanoutua,,,,,
10278,irvailla,make fun of,make fun of,irvailla,,,,,
10279,irvistellä,grimace,grimace,irvistellä,,,,,
10280,irvistyttää,make grin,make grin,irvistyttää,,,,,
10281,irvistää,grin,grin,irvistää,,,,,
10282,irviä,mock,mock,irviä,,,,,
10283,iskettää,have something hit,have something hit,iskettää,,,,,
10284,iskeytyä,hit,hit,iskeytyä,,,,,
10285,iskeä,strike,strike,iskeä,,,,,
10286,iskostaa,instill,instill,iskostaa,,,,,
10315,iskukuumentaa,process in uht,process in uht,iskukuumentaa,,,,,
10316,iskuttaa,english,english,iskuttaa,,,,,
10317,isoloida,isolate,isolate,isoloida,,,,,
10458,istahtaa,sit down for a short,sit down for a short,istahtaa,,,,,
10487,istuksia,sit around,sit around,istuksia,,,,,
10572,isännöidä,host,host,isännöidä,,,,,
10573,italialaistaa,italianize,italianize,italialaistaa,,,,,
10574,italialaistua,italianize,italianize,italialaistua,,,,,
10603,itkeskellä,cry,cry,itkeskellä,,,,,
10604,itkettää,make,make,itkettää,,,,,
10605,itkeä,cry,cry,itkeä,,,,,
10606,itsenäistyttää,force,force,itsenäistyttää,,,,,
10607,itsenäistyä,become independent,become independent,itsenäistyä,,,,,
10608,itsenäistää,make independent,make independent,itsenäistää,,,,,
10609,itää,germinate,germinate,itää,,,,,
10610,ivailla,ridicule,ridicule,ivailla,,,,,
10639,iätä,date,date,iätä,,,,,
10640,jaanata,harp,harp,jaanata,,,,,
10753,jahkaista,state something bemoaningly,state something bemoaningly,jahkaista,,,,,
10782,jahnata,quarrel,quarrel,jahnata,,,,,
10923,jaksotella,divide into passages,divide into passages,jaksotella,,,,,
10980,jalkauttaa,implement,implement,jalkauttaa,,,,,
11009,jallittaa,con,con,jallittaa,,,,,
11038,jalontaa,graft,graft,jalontaa,,,,,
11095,jalustaa,sheet,sheet,jalustaa,,,,,
11516,jauhattaa,have something ground,have something ground,jauhattaa,,,,,
11545,jauhentaa,pulverize,pulverize,jauhentaa,,,,,
11630,jeesiä,help,help,jeesiä,,,,,
11659,jekkuilla,prank,prank,jekkuilla,,,,,
11688,jelppiä,help,help,jelppiä,,,,,
11717,jengiytyä,gang,gang,jengiytyä,,,,,
11718,jiirata,sheer,sheer,jiirata,,,,,
11719,jippoilla,trick,trick,jippoilla,,,,,
11720,jodioida,iodize,iodize,jodioida,,,,,
11721,jodittaa,do,do,jodittaa,,,,,
11722,jodlata,yodel,yodel,jodlata,,,,,
11723,johdatella,steer,steer,johdatella,,,,,
11752,johdonmukaistaa,make more logical,make more logical,johdonmukaistaa,,,,,
11753,johdottaa,wire,wire,johdottaa,,,,,
11754,johtaa harhaan,mislead,mislead,johtaa harhaan,,,,,
11811,joiata,yoik,yoik,joiata,,,,,
11812,joikata,yoik,yoik,joikata,,,,,
11897,jolkutella,jog,jog,jolkutella,,,,,
11926,jollottaa,cry,cry,jollottaa,,,,,
11955,jongleerata,juggle,juggle,jongleerata,,,,,
11984,jonouttaa,cause queues,cause queues,jonouttaa,,,,,
12069,jorottaa,english,english,jorottaa,,,,,
12210,joustavoida,make more flexible,make more flexible,joustavoida,,,,,
12211,joustavoittaa,make more flexible,make more flexible,joustavoittaa,,,,,
12268,judata,wander,wander,judata,,,,,
12493,julkipanna,announce,announce,julkipanna,,,,,
12522,julmistella,show anger at somebody,show anger at somebody,julmistella,,,,,
12663,jumiuttaa,jam,jam,jumiuttaa,,,,,
12916,juoksettaa,curdle,curdle,juoksettaa,,,,,
12973,juolahtaa mieleen,come to mind,come to mind,juolahtaa mieleen,,,,,
12974,juolahtaa,occur,occur,juolahtaa,,,,,
13199,juosta pakoon,run away,run away,juosta pakoon,,,,,
13256,juovittaa,stripe,stripe,juovittaa,,,,,
13397,jurottaa,sulk,sulk,jurottaa,,,,,
13454,jurrata,english,english,jurrata,,,,,
13511,jutustaa,chat,chat,jutustaa,,,,,
13540,jututtaa,interview,interview,jututtaa,,,,,
13541,juurehtia,grow roots,grow roots,juurehtia,,,,,
13570,juurittaa,do,do,juurittaa,,,,,
13571,juurruttaa,make take root,make take root,juurruttaa,,,,,
13656,juustouttaa,curdle,curdle,juustouttaa,,,,,
13713,jydätä,english,english,jydätä,,,,,
13714,jykertää,do,do,jykertää,,,,,
13715,jylhetä,become more rugged,become more rugged,jylhetä,,,,,
13716,jylhistyä,become more rugged,become more rugged,jylhistyä,,,,,
13717,jylistä,rumble,rumble,jylistä,,,,,
13718,jyllätä,take over,take over,jyllätä,,,,,
13719,jymistä,rumble,rumble,jymistä,,,,,
13720,jymistää,english,english,jymistää,,,,,
13721,jymähdellä,english,english,jymähdellä,,,,,
13722,jymähtää,thud,thud,jymähtää,,,,,
13723,jymäytellä,english,english,jymäytellä,,,,,
13724,jymäyttää,thud,thud,jymäyttää,,,,,
13725,jynssätä,scrub,scrub,jynssätä,,,,,
13726,jyristellä,rumble,rumble,jyristellä,,,,,
13727,jyristä,rumble,rumble,jyristä,,,,,
13728,jyristää,english,english,jyristää,,,,,
13729,jyrisyttää,english,english,jyrisyttää,,,,,
13730,jyrkentyä,steepen,steepen,jyrkentyä,,,,,
13731,jyrkentää,steepen,steepen,jyrkentää,,,,,
13732,jyrketä,steepen,steepen,jyrketä,,,,,
13733,jyrkistyä,steepen,steepen,jyrkistyä,,,,,
13734,jyrkistää,steepen,steepen,jyrkistää,,,,,
13735,jyrrätä,english,english,jyrrätä,,,,,
13736,jyrsiä,gnaw,gnaw,jyrsiä,,,,,
13737,jyrytä,english,english,jyrytä,,,,,
13738,jyryyttää,english,english,jyryyttää,,,,,
13739,jyrähdellä,thunder,thunder,jyrähdellä,,,,,
13740,jyrähtää,thunder,thunder,jyrähtää,,,,,
13741,jyrätä,roll,roll,jyrätä,,,,,
13742,jyräyttää,english,english,jyräyttää,,,,,
13743,jyskiä,english,english,jyskiä,,,,,
13744,jyskytellä,english,english,jyskytellä,,,,,
13745,jyskyttää,pound,pound,jyskyttää,,,,,
13746,jyskyä,thump,thump,jyskyä,,,,,
13747,jyskähtää,english,english,jyskähtää,,,,,
13748,jysähdellä,thump,thump,jysähdellä,,,,,
13749,jysähtää,thump,thump,jysähtää,,,,,
13750,jysäyttää,thump,thump,jysäyttää,,,,,
13751,jytistä,do,do,jytistä,,,,,
13752,jytistää,produce a very lowpitch,produce a very lowpitch,jytistää,,,,,
13753,jytkyttää,english,english,jytkyttää,,,,,
13754,jytkähtää,fall,fall,jytkähtää,,,,,
13755,jytyyttää,english,english,jytyyttää,,,,,
13756,jyvittää,allocate,allocate,jyvittää,,,,,
13757,jyystää,scrub,scrub,jyystää,,,,,
13758,jähmettyä,set,set,jähmettyä,,,,,
13759,jähmettää,solidify,solidify,jähmettää,,,,,
13760,jähmetä,do,do,jähmetä,,,,,
13761,jäkälöityä,become covered with lichen,become covered with lichen,jäkälöityä,,,,,
13762,jäkättää,yack,yack,jäkättää,,,,,
13763,jäljentyä,produce a copy,produce a copy,jäljentyä,,,,,
13764,jäljentää,copy,copy,jäljentää,,,,,
13765,jäljestää,track,track,jäljestää,,,,,
