deficient,alijäämäinen
backward,alikehittynyt
subcritical,alikriittinen
hypothermic,alilämpöinen
undermost,alimmainen
undermost,alin
under,alinen
continuous,alinomainen
some,aliohjautuva
some,alipaineinen
underweight,alipainoinen
underpaid,alipalkattu
underpaid,alipalkkainen
undernourished,aliravittu
some,aliravitumpi
underresourced,aliresursoitu
subordinate,alisteinen
submissive,alistuva
some,alistuvainen
subconscious,alitajuinen
continuous,alituinen
alkaline,alkalinen
primitive,alkeellinen
alcoholic,alkoholipitoinen
nonalcoholic,alkoholiton
primitive,alkukantainen
early christian,alkukristillinen
original,alkuperäinen
some,alkuperäisempi
allegorical,allegorinen
one below another,allekkainen
allergenic,allergeeninen
allergic,allerginen
some,allergisempi
some,allergisin
allergenic,allergisoiva
allochthonous,alloktoninen
allopathic,allopaattinen
some,allopatia
allotropic,allotrooppinen
sectoral,aloittainen
some,aloittamaton
some,aloitteellinen
some,aloitteikas
rookielike,alokasmainen
some,alpakkainen
alpine,alpiininen
exposed,altis
predisposed,altistettu
altruistic,altruistinen
some,altruistisempi
regional,alueellinen
regional,alueittainen
regional policy,aluepoliittinen
tentative,alustava
alveolar,alveolaarinen
amateurish,amatöörimäinen
some,ambiofoninen
ambivalent,ambivalentti
ambivalent,ambivalenttinen
amoebalike,amebamainen
some,amerikansamoalainen
some,amerikansuomalainen
some,amerikkalainen
amphibious,amfibinen
some,ammateittainen
occupational,ammatillinen
professional,ammattimainen
some,ammattimaisempi
unprofessional,ammattitaidoton
qualified,ammattitaitoinen
ancient,ammoinen
gaping,ammottava
amoral,amoraalinen
amorphic,amorfinen
anal,anaalinen
some,anaalisretentiivinen
anabolic,anabolinen
anadromous,anadrominen
anaerobic,anaerobinen
anaphylactic,anafylaktinen
anacoluthic,anakoluuttinen
anachronistic,anakronistinen
analgesic,analgeettinen
analogue,analoginen
analytical,analyyttinen
anamnestic,anamnestinen
some,anarkinen
anarchistic,anarkistinen
anastigmatic,anastigmaattinen
anatomic,anatominen
some,andorralainen
androgenic,androgeeninen
androgynous,androgyyninen
andrological,androloginen
anemic,aneeminen
some,anestesiologinen
some,anglikaaninen
some,angloamerikkalainen
some,anglonormannilainen
some,anglosaksinen
some,angolalainen
some,anguillalainen
used often like a noun,aniharva
animal,animaalinen
animistic,animistinen
harsh,ankara
dismal,ankea
eellike,ankeriasmainen
anomalous,anomaalinen
anonymous,anonyymi
anorectic,anorektinen
undeserved,ansaitsematon
meritorious,ansiokas
some,ansiosidonnainen
undeserving,ansioton
antagonistic,antagonistinen
antarctic,antarktinen
antacid,antasidinen
dedicated,antaumuksellinen
forgivable,anteeksiannettava
inexcusable,anteeksiantamaton
forgiving,anteeksiantava
unapologetic,anteeksipyytelemätön
apologetic,anteeksipyytelevä
apologetic,anteeksipyytävä
generous,antelias
antenatal,antenataalinen
anterograde,anterogradinen
antiinflammatory,antiinflammatorinen
